yyyymm,yyyy,mmm,rides,is_member
2014-04,2014,Apr,10125,0
2014-04,2014,Apr,98139,1
2014-05,2014,May,54386,0
2014-05,2014,May,400875,1
2014-06,2014,Jun,70152,0
2014-06,2014,Jun,455711,1
2014-07,2014,Jul,73955,0
2014-07,2014,Jul,495397,1
2014-08,2014,Aug,89499,0
2014-08,2014,Aug,467281,1
2014-09,2014,Sep,41168,0
2014-09,2014,Sep,436377,1
2014-10,2014,Oct,20625,0
2014-10,2014,Oct,311193,1
2014-11,2014,Nov,3615,0
2014-11,2014,Nov,107778,1
2015-04,2015,Apr,13810,0
2015-04,2015,Apr,136461,1
2015-05,2015,May,88777,0
2015-05,2015,May,456901,1
2015-06,2015,Jun,94157,0
2015-06,2015,Jun,453081,1
2015-07,2015,Jul,117653,0
2015-07,2015,Jul,503212,1
2015-08,2015,Aug,127117,0
2015-08,2015,Aug,470388,1
2015-09,2015,Sep,81408,0
2015-09,2015,Sep,441914,1
2015-10,2015,Oct,30921,0
2015-10,2015,Oct,301676,1
2015-11,2015,Nov,9062,0
2015-11,2015,Nov,117345,1
